12362,Temportal 2.1,,12:45,5900
12292,The Arch,,12:00,4900
13091,THE BIKEOASIS,,05:30,1400
13062,The Buddha Bunny,,11:00,1400
12114,The Burninator Grid,,03:45,1100
12818,The burning itch,,02:00,1400
12415,The Care Factor Nil Maze,,01:30,5300
12313,The Chaotick,,07:00,1900
12018,The Drifting Encyclopedia at Burning Man,,03:10,900
13110,The Everything: a modular collaboratory.,,11:45,6600
13069,The Evolution of Language,,01:00,4500
13141,The Giving tree,BRAF,,
13055,The Grotto and Garden of Manifest Destiny,,04:45,1700
12201,The Gyre Cleanup Project / The Plastic Planet,,04:00,1700
12081,The Heron Project,Keyhole,06:00,2000
12371,The Lighthouse Project 2.0,,05:15,1900
13139,The Massive Storage Container,,02:45,1300
11999,The Mudpire Strikes Back,,12:45,1200
13032,The Museum of Unnatural Selection,,05:30,2000
11997,The Nest of Recollection,,12:30,3900
12109,The Next.,,01:00,2400
12257,The One,,11:30,4900
13057,The Only Way Out Is In,,11:45,1700
12040,The Penny Tray,,12:15,4700
13098,The Point of Evolution,,12:15,3800
12067,The Pool,,10:00,1700
12920,The Prometheus Cube,,11:45,2600
12056,The Raygun Gothic Rocket,,07:30,1100
13038,The Red Arrow Project,Mobile,,
12064,The Red Door,,11:15,3600
12091,the spinning music windmill,,11:15,2000
12103,The Towers of Shiva,,06:30,1500
12063,The Watch,,08:45,1000
13077,THE WEDGE,,11:00,3200
13056,The Woody Outpost (The W.O.),,12:15,4300
12425,Time for Money,,12:00,6300
12153,TMA-3,,10:00,1200
13088,Tower of Emergence,,01:00,1700
13107,Transport Your Head: A Time Safari,,04:00,1500
12470,Tree of Time,,02:45,800
13063,Tubolution,,12:30,4500
12819,"unsung, undone, resung, reborn",,12:30,2600
12295,Vishnu's Dream,,09:15,1400
13112,wdydwyd?,,04:30,1900
13096,We Evolve,,04:45,1900
12876,Weeds,,12:15,1500
13036,What Where When,,11:45,4300
12417,Whine of the winds,,01:45,2900
12156,who Gave Birth,,05:00,1900
12196,Witness Pavilion,,08:15,1800
12851,y=1/4sin(Pi x/3.08) / Homeostatic Self Portrait,,05:00,1000
13117,YOU ARE NOW,,01:00,3300
12224,Zen Biscuit,,12:00,3900
12336,"Zoetrope ""Evolution of Man""",,05:45,1100
